plz_212,mtkaug_idx,mtfreieberufe_ind,bvvsaz,mtkgbg,mtkarg,mtkkwg,mtkmkg,mtkgeg,mtkemg,mtkoeg,mtkelg,mtkreg,mtkhpg,mtkhyg,mtkyng,mtkolg,mtfahrls,dladestm,mtitymg,mtitykg,mtkcpg,mtkcmg,mtkcbg,mtkglg,mtkvkg,mtkmvg,mtkmsg,mtkksg,mtkgsg,educational_level_index_weight,one_two_family_home_index
01109,88.54,187.0,2383.0,3.85,1.75,3.04,7.0,0.2,4.3,1.94,1.7,0.27,0.2,1.77,3.11,5.6,6534.46,1656.97,5.98,4.33,1.28,1.58,0.97,1.32,3.25,2.64,0.52,1.9,1.1,3.6381305,90.245705572
01187,92.86,208.0,2056.0,4.49,1.84,2.77,7.42,0.34,4.41,2.0,2.0,0.32,0.29,1.89,4.54,4.18,8033.95,1270.45,7.14,3.79,1.42,1.34,1.11,1.12,2.86,2.58,0.67,1.47,0.99,2.7577681,24.0934130774
01277,93.31,279.0,3834.0,4.18,1.5,3.9,6.64,0.33,4.16,1.8,1.69,0.11,0.11,2.0,4.45,4.98,7482.26,951.45,7.45,3.06,1.34,2.09,0.97,1.19,2.55,2.48,0.54,1.7,0.72,9.6115375,20.6479811766
01454,95.6,176.0,3452.0,4.12,2.07,4.05,6.56,0.15,4.7,1.52,1.26,0.29,0.24,1.15,4.05,5.16,7813.31,2466.46,5.14,5.14,1.26,1.84,0.93,1.18,2.6,2.3,0.65,2.18,1.38,4.5839381,123.3218518193
01587,87.28,82.0,1835.0,3.34,1.28,4.58,6.6,0.2,5.18,2.05,1.76,0.0,0.08,2.25,3.97,7.18,4641.26,781.16,6.91,3.68,0.91,2.85,0.46,1.3,2.11,2.25,0.36,2.39,0.56,1.280629,21.4108982404
01108,79.28,43.0,658.0,4.27,2.27,2.86,6.82,0.1,4.71,2.48,1.75,0.38,0.36,1.45,2.3,5.34,5478.81,1380.32,4.44,5.61,1.26,1.39,1.15,2.08,3.43,2.66,0.33,2.25,1.36,0.2843518,46.1441772423
01169,93.66,53.0,2412.0,5.17,1.18,4.46,6.41,0.14,4.96,1.44,1.23,0.1,0.05,1.46,4.14,6.32,6755.58,1154.08,7.86,3.38,1.03,2.22,0.56,1.14,1.99,2.8,0.66,2.06,0.47,3.7444467,24.2410744446
01259,89.94,148.0,2254.0,3.99,1.96,3.55,6.63,0.23,4.53,2.26,2.2,0.14,0.31,2.54,3.48,5.61,6433.7,2289.16,6.0,4.38,1.38,1.56,1.37,1.56,3.02,2.32,0.47,2.11,0.97,3.1778244,64.5280174556
01445,106.99,363.0,4915.0,4.28,2.17,3.64,6.21,0.2,5.33,2.15,1.9,0.41,0.38,1.98,2.9,5.5,9540.61,1283.15,5.25,5.03,1.47,1.5,1.48,1.86,3.2,2.15,0.99,1.57,1.53,10.0025645,155.4874196357
01561,86.1,92.0,2849.0,5.29,1.53,3.05,7.52,0.07,6.27,1.44,0.94,0.2,0.09,0.9,3.72,4.88,6976.72,6840.41,3.19,6.85,0.96,1.48,0.75,1.59,3.35,2.81,0.97,1.93,0.87,3.4732917,184.6259294249
